"stn","lon_o","lat_o","ele","lon_l","lat_l","dist","dii","yii","xii"
409,127.08682,37.5855,39.09,127.089,37.5893,0.00438091314681855,195816,383,232
410,126.91809,37.49371,36.44,126.913,37.4942,0.00511353106963271,192222,376,222
411,126.90277,37.55174,100.67,126.896,37.5497,0.00707067889244343,194269,380,221
412,126.94076,37.57046,103.08,126.949,37.5769,0.0104580686553529,195296,382,224
413,127.0875,37.531,28.63,127.088,37.534,0.00304138126514728,193768,379,232
414,126.99943,37.61172,128.62,127.002,37.6179,0.00669307851440298,196835,385,227
415,126.97609,37.52037,32.62,126.983,37.5212,0.00695966953238931,193250,378,226
416,126.30778,37.05417,57.92,126.3,37.0555,0.00789286386554069,175803,344,187
417,126.90015,37.46551,45,126.895,37.4667,0.00528569768337229,191197,374,221
418,126.93906,37.5249,10.66,126.931,37.5217,0.00867200092250942,193247,378,223
419,126.98736,37.55237,266.44,126.983,37.5489,0.00557229755127312,194274,380,226
421,127.03884,37.5472,34.73,127.036,37.5484,0.00308311530760117,194277,380,229
422,126.984,37.603,333.8,126.984,37.6043,0.00130000000000052,196322,384,226
423,126.8265,37.49418,56.08,126.826,37.495,0.000960416576282442,192217,376,217
424,127.02572,37.6397,57.29,127.02,37.6454,0.00807517182480812,197860,387,228
425,126.986,37.463,87.86,126.982,37.4659,0.00494064773081633,191202,374,226
430,127.0118333,37.27183333,103,127.014,37.272,0.00217310095919488,184036,360,228
431,127.0739444,37.74602778,67,127.074,37.7417,0.00432813713835105,201447,394,231
432,126.9204565,37.13107,29,126.925,37.1346,0.00575363296100443,178911,350,223
433,126.7665833,37.49758333,29,126.773,37.4954,0.00677797674670978,192214,376,214
434,126.9589167,37.39158333,96,126.964,37.3969,0.00735574053232199,188641,369,225
435,126.8211944,37.32430556,32,126.823,37.329,0.00502970757336891,186073,364,217
436,127.1892778,37.23138889,123,127.187,37.2286,0.00360087215436706,182510,357,238
437,126.8664722,37.47577778,68,126.86,37.4809,0.00825387851669918,191707,375,219
438,126.9374722,37.35872222,97,126.945,37.3556,0.00814960309268085,187104,366,224
439,127.0377778,37.20605556,66,127.03,37.2027,0.00847077067058312,181477,355,229
440,127.4423889,37.275,168,127.448,37.2805,0.00785712690555575,184573,361,253
441,126.7047222,37.64683333,32,126.705,37.6481,0.00129677512657162,197842,387,210
442,127.2878333,37.41605556,53,127.295,37.4209,0.0086504443702997,189684,371,244
443,127.2919444,37.01972222,90,127.287,37.0201,0.00495881125758934,174836,342,244
444,127.2155556,37.53591667,37,127.21,37.5326,0.00647031616298369,193775,379,239
445,126.9709444,37.34172222,94,126.963,37.3416,0.0079453400863898,186593,365,225
446,127.0657778,37.13738889,32,127.064,37.1332,0.0045505353830185,178919,350,231
447,127.6812778,37.32622222,72,127.676,37.3323,0.00804950821904031,186634,365,266
448,127.4451667,37.39877778,131,127.451,37.4049,0.00845629745327352,189181,370,253
449,127.4522222,37.50727778,44,127.453,37.5017,0.00563174951222502,192765,377,253
450,126.8333611,37.6555,50,126.828,37.661,0.00768058547312608,198361,388,217
451,127.1529722,37.61069444,34,127.159,37.6162,0.00816367342277399,196844,385,236
452,127.2285286,37.9312975,109,127.235,37.9337,0.00690297212872466,208624,408,240
453,126.8983333,37.44,37,126.894,37.4391,0.00442577551283174,190173,372,221
454,127.0696111,37.97125,91,127.078,37.9771,0.010227225587129,210151,411,231
455,127.512,37.82822222,92,127.514,37.833,0.00517949628133467,205056,401,256
456,127.0778056,38.09361111,82,127.08,38.0879,0.00611818345524807,214247,419,231
457,127.1941806,37.52202222,52,127.192,37.519,0.00372677207357805,193262,378,238
458,127.3057806,37.47469444,48,127.313,37.476,0.00733649938823346,191733,375,245
459,127.1967556,37.345475,89,127.189,37.3392,0.00997621954250128,186606,365,238
460,127.4039389,37.36640278,182,127.398,37.3642,0.00633425393700522,187642,367,250
461,127.3601111,37.24611111,88,127.361,37.2402,0.00597757180150157,183032,358,248
462,127.4823056,37.16913889,84,127.481,37.1694,0.0013314540142738,180479,353,255
463,127.5412417,37.3327,57,127.537,37.3345,0.00460782149067615,186626,365,258
464,127.6625722,37.20612778,86,127.655,37.2082,0.00785062472471821,182025,356,265
465,127.5451083,37.20171944,85,127.551,37.196,0.00821121932502578,181507,355,259
466,127.533325,37.39278889,60,127.538,37.3898,0.0055487916190832,188674,369,258
467,127.1944778,37.05979167,55,127.201,37.0626,0.00710111330910861,176367,345,239
468,127.2592222,36.94306944,63,127.268,36.9374,0.0104495130390721,171763,336,243
469,127.4770111,37.0906,95,127.479,37.0865,0.00455694230926962,177407,347,255
470,127.2633861,37.08270833,68,127.27,37.0755,0.00978282651378643,176883,346,243
471,127.0648972,37.06644167,74,127.062,37.0641,0.00372520955503689,176359,345,231
472,126.8534889,36.98447778,25,126.853,36.9832,0.00136811729702298,173275,339,219
473,127.1861361,37.84861389,130,127.181,37.8513,0.00579609438692208,205549,402,237
474,127.27225,38.08660556,148,127.273,38.0856,0.00125445243576656,214258,419,242
475,127.2511972,38.15774722,197,127.257,38.1551,0.00637810799285656,216817,424,241
476,127.2904314,37.90134222,151.84,127.287,37.9054,0.00531414005163646,207603,406,243
477,127.0439528,37.90553056,80,127.042,37.9082,0.0033074669693865,207589,406,229
478,127.0148889,38.05586111,36,127.009,38.0609,0.00775045518934663,213219,417,227
479,126.8863056,37.97905556,29,126.885,37.9789,0.00131483469439526,210140,411,220
480,126.9949444,38.04469444,35,126.991,38.0472,0.00467291368137024,212706,416,226
481,126.7160889,37.80241389,37,126.724,37.8002,0.00821503573590032,203475,398,211
482,126.8512417,37.77626667,53,126.847,37.7716,0.00630633235557421,202458,396,218
