"stn","lon_o","lat_o","ele","law_id","sido","lon_l","lat_l","dist","dii","yii","xii"
366,126.9753,37.355,114,4143010500,41,126.98,37.3553,0.00470956473572653,220046,366,316
367,126.7844,37.4061,26,4139010400,41,126.79,37.4123,0.00835463942968277,222443,370,305
368,127.1503,37.5992,49,4131010500,41,127.159,37.6024,0.00926984358013002,230892,384,326
369,126.9169,37.3642,124,4141010400,41,126.911,37.3698,0.00813449445263665,220644,367,312
370,127.25,37.1789,241,4146125627,41,127.255,37.1725,0.00812157620169543,212236,353,332
371,127.1164,37.2772,121,4146310200,41,127.118,37.2709,0.00650000000000207,216442,360,324
372,127.0267,37.8722,108,4163031022,41,127.023,37.8669,0.00646374504448077,242322,403,318
373,127.0458,37.7706,163,4163010300,41,127.039,37.7698,0.00684689710744846,238109,396,319
374,126.9706,37.0467,50.4,4122025928,41,126.976,37.0512,0.00702922470831189,206802,344,316
375,126.9875,37.7919,150,4163025022,41,126.987,37.798,0.00612045749924347,239310,398,316
400,127.081619,37.498214,28.7,1168011400,11,127.087,37.4925,0.00784888253192584,226072,376,322
401,127.02601,37.48462,33.05,1165010800,11,127.034,37.4792,0.00965486923785687,225467,375,319
402,127.14498,37.55552,56.21,1174010200,11,127.141,37.5611,0.00685396235764465,229085,381,325
403,127.0967,37.51151,58.26,1171010100,11,127.105,37.5062,0.00985322789750179,226675,377,323
404,126.82953,37.5739,80.4,1150010300,11,126.827,37.578,0.00481776919331403,229669,382,307
405,126.8782,37.52961,11.93,1147010200,11,126.878,37.536,0.00639312912430555,227866,379,310
406,127.02947,37.66612,56.65,1132010600,11,127.037,37.6591,0.0102947219486492,233293,388,319
407,127.09192,37.62186,25.3,1135010300,11,127.089,37.617,0.00566974426231251,231490,385,322
408,127.06036,37.58463,53.96,1123010400,11,127.054,37.5897,0.00813354166400132,230284,383,320
409,127.08682,37.58551,39.09,1126010100,11,127.089,37.5893,0.00437224198781329,230286,383,322
410,126.91809,37.49371,36.44,1159010900,11,126.913,37.4942,0.00511353106963271,226062,376,312
411,126.92915,37.55165,100.67,1144012300,11,126.931,37.5494,0.00291290233272259,228471,380,313
412,126.94078,37.57047,103.08,1141011400,11,126.949,37.5769,0.0104361535059585,229676,382,314
413,127.08566,37.5338,28.63,1121510500,11,127.088,37.534,0.00234853145602758,227878,379,322
414,126.99944,37.61172,128.62,1129013300,11,127.002,37.6179,0.00668924509940746,231485,385,317
415,126.97611,37.52038,31.73,1117012900,11,126.983,37.5212,0.00693862378285313,227270,378,316
416,126.94338,37.64639,57.92,1138011400,11,126.95,37.6461,0.0066263489192748,232686,387,314
417,126.90016,37.46551,45,1154510200,11,126.895,37.4667,0.00529544143580494,224857,374,311
418,126.93906,37.5249,10.66,1156011000,11,126.931,37.5217,0.00867200092250942,227267,378,313
419,126.98736,37.55236,267.05,1114014200,11,126.983,37.5489,0.00556607581693803,228474,380,316
421,127.03885,37.54721,34.73,1120011400,11,127.036,37.5484,0.00308846240060891,228477,380,319
423,126.827,37.494,56.08,1153010900,11,126.826,37.495,0.00141421356237482,226057,376,307
424,127.02576,37.63972,57.29,1130510300,11,127.02,37.6454,0.00808949936647298,232690,387,318
425,126.9855,37.46336,87.86,1162010300,11,126.982,37.4659,0.00432453465704673,224862,374,316
426,124.63047,37.9661,146,2872033024,28,124.636,37.9598,0.00838277400386492,246400,410,182
427,126.67348,37.64282,16,4157010400,41,126.67,37.6483,0.00649159456527885,232670,387,298
428,127.21284,37.55122,29,4145010800,41,127.21,37.5465,0.00550853882622471,228487,380,329
429,126.7636,37.50059,15.67,4119010800,41,126.756,37.4955,0.00914702683936012,226053,376,303
